Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
Elche,23,22,16,5925925925925920,6956521739130430,9165217391304340,348,51,0
Ourense,23,21,18,6923076923076920,782608695652174,3869565217391300,157,23,0
Tarragona,23,22,54,8059701492537310,2347826086956520,7221739130434780,397,126,0
Guadalajara,22,21,15,0.6,6818181818181810,167.5,354,53,0
Benidorm,21,18,33,7857142857142850,15714285714285700,11041904761904700,1038,23,0
Bogota,21,21,18,782608695652174,8571428571428570,9695238095238090,168,21,0
Logrono,21,21,14,5833333333333330,6666666666666660,7452380952380950,207,28,0
Motril,21,21,13,5652173913043470,6190476190476190,30333333333333300,135,20,0
Torrent,21,18,17,6538461538461530,8095238095238090,8276190476190470,259,39,0
Mataro,20,19,14,6086956521739130,0.7,41.25,169,28,0
Badajoz,19,16,21,5675675675675670,1105263157894730,191,428,32,0
Vilanova i la Geltru,19,19,13,5652173913043470,6842105263157890,9321052631578940,224,34,0
Girona,18,15,9,375,0.5,10494444444444400,286,28,0
Huelva,18,16,12,5217391304347820,6666666666666660,20166666666666600,121,13,0
London,18,17,14,5185185185185180,7777777777777770,6627777777777770,172,8,0
Tres Cantos,18,15,17,6538461538461530,9444444444444440,24516666666666600,319,39,0
Cadiz,17,15,10,4166666666666660,5882352941176470,4276470588235290,182,26,0
Elda,17,16,12,6666666666666660,7058823529411760,5264705882352940,150,16,0
Lugo,17,17,10,5882352941176470,5882352941176470,20647058823529400,100,12,0
New York,17,16,3,16666666666666600,17647058823529400,11294117647058800,102,6,0
Pontevedra,17,17,11,6111111111111110,6470588235294110,673529411764706,232,38,0
Caceres?,16,14,17,0.85,1.0625,434125,403,25,0
Lleida,16,14,42,8936170212765950,2625,431875,284,100,0
Palencia,16,14,9,42857142857142800,5625,675625,156,27,0
Port de Sagunt,16,15,13,7222222222222220,8125,175,371,39,0
Rivas-Vaciamadrid,16,15,20,7407407407407400,1.25,4258125,630,53,0
Buenos Aires,15,14,10,5555555555555550,6666666666666660,21666666666666600,74,2,0
Granollers,15,14,19,0.76,12666666666666600,117.6,265,52,0
La Canyada,15,15,12,7058823529411760,0.8,10026666666666600,160,24,0
Langreo,15,15,10,5882352941176470,6666666666666660,36,135,18,0
Mexico City,15,15,8,47058823529411700,5333333333333330,29666666666666600,112,5,0
Mollet del Valles,15,14,12,0.75,0.8,24286666666666600,396,33,0
Ponferrada,15,13,10,625,6666666666666660,9286666666666660,222,50,0
Torrevieja,15,13,14,7368421052631570,9333333333333330,8353333333333330,142,9,0
Algeciras,14,14,8,4444444444444440,5714285714285710,23714285714285700,93,6,0
Lorca,14,13,7,3684210526315780,0.5,44857142857142800,142,24,0
Reus,14,13,10,625,7142857142857140,11635714285714200,88,9,0
Segovia,14,12,13,8666666666666660,9285714285714280,12042857142857100,245,37,0
Alzira,13,12,7,0.5,5384615384615380,6192307692307690,136,19,0
Arrecife,13,13,3,0.2,23076923076923000,12153846153846100,65,3,0
Ashburn,13,13,5,38461538461538400,38461538461538400,1,48,3,0
Chiclana de la Frontera,13,11,28,0.7,21538461538461500,2633076923076920,475,47,0
Medellin,13,10,10,7142857142857140,7692307692307690,5138461538461530,84,11,0
Molins de Rei,13,11,9,0.5,6923076923076920,8161538461538460,211,25,0
Vilafranca del Penedes,13,12,12,0.8,9230769230769230,20723076923076900,247,42,0
Arganda del Rey,12,9,21,0.75,1.75,3390833333333330,257,39,0
Colmenar Viejo,12,11,11,6875,9166666666666660,21708333333333300,310,46,0
El Puerto de Santa Maria,12,12,10,7142857142857140,8333333333333330,10408333333333300,168,37,0
Frankfurt,12,12,6,46153846153846100,0.5,54,87,15,0
Paris,12,11,7,5384615384615380,5833333333333330,44.5,103,9,0
San Sebastian de los Reyes,12,12,14,5833333333333330,11666666666666600,20266666666666600,298,33,0
Torrelavega,12,12,9,6923076923076920,0.75,11716666666666600,148,29,0
Vecindario,12,12,7,5384615384615380,5833333333333330,6666666666666660,112,14,0
Alcantarilla,11,10,8,4444444444444440,7272727272727270,24336363636363600,362,74,0
Ciudad Real,11,10,5,3333333333333330,45454545454545400,6136363636363630,82,10,0
Ibiza,11,10,15,625,13636363636363600,3498181818181810,413,26,0
